Type,Condition,SNOMED Concept ID,Code Description
National,Depression,63412003,Major depression in full remission (disorder)
National,Depression,63778009,"Major depressive disorder, single episode with melancholic features (disorder)"
National,Depression,68019004,Recurrent major depression in remission (disorder)
National,Depression,69392006,"Major depressive disorder, single episode with catatonic features (disorder)"
National,Depression,70747007,"Major depression single episode, in partial remission (disorder)"
National,Depression,73867007,Severe major depression with psychotic features (disorder)
National,Depression,75084000,Severe major depression without psychotic features (disorder)
National,Depression,76441001,"Severe major depression, single episode, without psychotic features (disorder)"
National,Depression,77911002,"Severe major depression, single episode, with psychotic features, mood-congruent (disorder)"
National,Depression,78667006,Dysthymia (disorder)
National,Depression,79298009,"Mild major depression, single episode (disorder)"
National,Depression,83458005,Agitated depression (disorder)
National,Depression,84760002,"Schizoaffective disorder, depressive type (disorder)"
National,Depression,87414006,Reactive depression (situational) (disorder)
National,Depression,87512008,Mild major depression (disorder)
National,Depression,191455000,Presenile dementia with depression (disorder)
National,Depression,191459006,Senile dementia with depression (disorder)
National,Depression,191604000,"Single major depressive episode, severe, with psychosis (disorder)"
National,Depression,191610000,"Recurrent major depressive episodes, mild (disorder)"
National,Depression,191611001,"Recurrent major depressive episodes, moderate (disorder)"
National,Depression,191613003,"Recurrent major depressive episodes, severe, with psychosis (disorder)"
National,Depression,191616006,Recurrent depression (disorder)
National,Depression,191634005,"Bipolar affective disorder, currently depressed, in full remission (disorder)"
National,Depression,191659001,Atypical depressive disorder (disorder)
National,Depression,191676002,Reactive depressive psychosis (disorder)
National,Depression,192049004,Prolonged depressive adjustment reaction (disorder)
National,Depression,192080009,Chronic depression (disorder)
National,Depression,231485007,Post-schizophrenic depression (disorder)
National,Depression,231499006,Endogenous depression first episode (disorder)
National,Depression,231500002,Masked depression (disorder)
National,Depression,231504006,Mixed anxiety and depressive disorder (disorder)
National,Depression,237349002,Mild postnatal depression (disorder)
National,Depression,247803002,Seasonal affective disorder (disorder)
National,Depression,268621008,Recurrent major depressive episodes (disorder)
National,Depression,274948002,Endogenous depression - recurrent (disorder)
National,Depression,300706003,Endogenous depression (disorder)
National,Depression,310495003,Mild depression (disorder)
National,Depression,310496002,Moderate depression (disorder)
National,Depression,310497006,Severe depression (disorder)
National,Depression,321717001,Involutional depression (disorder)
National,Depression,357705009,Cotard's syndrome (disorder)
National,Depression,370143000,Major depressive disorder (disorder)
National,Depression,426578000,Premenstrual dysphoric disorder in remission (disorder)
National,Depression,698957003,Depressive disorder in remission (disorder)
National,Depression,720453001,Moderately severe major depression single episode (disorder)
National,Depression,720454007,Minimal major depression single episode (disorder)
National,Depression,765176007,Psychosis and severe depression co-occurrent and due to bipolar affective disorder (disorder)
National,Depression,788120007,Antenatal depression (disorder)
National,Depression,1153570009,Treatment resistant depression (disorder)
National,Depression,1153575004,Persistent depressive disorder (disorder)
National,Depression,251000119105,"Severe major depression, single episode (disorder)"
National,Depression,104851000119103,Postpartum major depression in remission (disorder)
National,Depression,288751000119101,"Reactive depressive psychosis, single episode (disorder)"
National,Depression,755321000000106,"Single major depressive episode, severe, with psychosis, psychosis in remission (disorder)"
National,Depression,755331000000108,"Recurrent major depressive episodes, severe, with psychosis, psychosis in remission (disorder)"
National,Depression,764611000000100,"Recurrent major depressive episodes, severe (disorder)"
National,Depression,764691000000109,"Recurrent major depressive episodes, in partial remission (disorder)"
National,Depression,764711000000106,"Single major depressive episode, in remission (disorder)"
National,Depression,1086471000000100,"Recurrent reactive depressive episodes, severe, with psychosis (disorder)"
National,Depression,1086661000000100,"Reactive depression, prolonged single episode (disorder)"
National,Depression,1089511000000100,Recurrent depression with current severe episode and psychotic features (disorder)
National,Depression,1089631000000100,Recurrent depression with current severe episode without psychotic features (disorder)
National,Depression,1089641000000100,Recurrent depression with current moderate episode (disorder)
National,Depression,16238181000119100,Depressive disorder caused by amphetamine (disorder)
National,Depression,16238221000119100,Depressive disorder caused by methamphetamine (disorder)
National,Depression,16264621000119100,Recurrent mild major depressive disorder co-occurrent with anxiety (disorder)
National,Depression,16264821000119100,Recurrent severe major depressive disorder co-occurrent with anxiety (disorder)
National,Depression,16264901000119100,Recurrent moderate major depressive disorder co-occurrent with anxiety (disorder)
National,Depression,16265061000119100,Recurrent major depressive disorder co-occurrent with anxiety in full remission (disorder)
National,Depression,16265301000119100,Recurrent major depressive disorder in partial remission co-occurrent with anxiety (disorder)
National,Depression,16265951000119100,Mild major depressive disorder co-occurrent with anxiety single episode (disorder)
National,Depression,16266831000119100,Moderate major depressive disorder co-occurrent with anxiety single episode (disorder)
National,Depression,16266991000119100,Severe major depressive disorder co-occurrent with anxiety single episode (disorder)
National,Diabetes,4855003,Retinopathy due to diabetes mellitus (disorder)
National,Diabetes,5368009,Drug-induced diabetes mellitus (disorder)
National,Diabetes,5969009,Diabetes mellitus associated with genetic syndrome (disorder)
National,Diabetes,8801005,Secondary diabetes mellitus (disorder)
National,Diabetes,11530004,Brittle diabetes mellitus (finding)
National,Diabetes,44054006,Diabetes mellitus type 2 (disorder)
National,Diabetes,46635009,Diabetes mellitus type 1 (disorder)
National,Diabetes,49455004,Polyneuropathy due to diabetes mellitus (disorder)
National,Diabetes,51002006,Diabetes mellitus associated with pancreatic disease (disorder)
National,Diabetes,70694009,Diabetes mellitus AND insipidus with optic atrophy AND deafness (disorder)
National,Diabetes,73211009,Diabetes mellitus (disorder)
National,Diabetes,75682002,Diabetes mellitus caused by insulin receptor antibodies (disorder)
National,Diabetes,111552007,Diabetes mellitus without complication (disorder)
National,Diabetes,127012008,Lipoatrophic diabetes (disorder)
National,Diabetes,127013003,Disorder of kidney due to diabetes mellitus (disorder)
National,Diabetes,127014009,Peripheral angiopathy due to diabetes mellitus (disorder)
National,Diabetes,190368000,Type I diabetes mellitus with ulcer (disorder)
National,Diabetes,190372001,Type I diabetes mellitus maturity onset (disorder)
National,Diabetes,190389009,Type II diabetes mellitus with ulcer (disorder)
National,Diabetes,201724008,Neuropathic arthropathy due to diabetes mellitus (disorder)
National,Diabetes,230577008,Mononeuropathy due to diabetes mellitus (disorder)
National,Diabetes,237599002,Insulin treated type 2 diabetes mellitus (disorder)
National,Diabetes,237601000,Secondary endocrine diabetes mellitus (disorder)
National,Diabetes,237604008,"Maturity onset diabetes of the young, type 2 (disorder)"
National,Diabetes,237612000,"Photomyoclonus, diabetes mellitus, deafness, nephropathy and cerebral dysfunction (disorder)"
National,Diabetes,237619009,Diabetes-deafness syndrome maternally transmitted (disorder)
National,Diabetes,268519009,Diabetic - poor control (finding)
National,Diabetes,290002008,Brittle type I diabetes mellitus (finding)
National,Diabetes,313435000,Type I diabetes mellitus without complication (disorder)
National,Diabetes,313436004,Type II diabetes mellitus without complication (disorder)
National,Diabetes,314893005,Arthropathy due to type 1 diabetes mellitus (disorder)
National,Diabetes,314902007,Peripheral angiopathy due to type 2 diabetes mellitus (disorder)
National,Diabetes,314903002,Arthropathy due to type 2 diabetes mellitus (disorder)
National,Diabetes,395204000,Hyperosmolar non-ketotic state due to type 2 diabetes mellitus (disorder)
National,Diabetes,408540003,Diabetes mellitus caused by non-steroid drugs (disorder)
National,Diabetes,413183008,Diabetes mellitus caused by non-steroid drugs without complication (disorder)
National,Diabetes,420270002,Ketoacidosis due to type 1 diabetes mellitus (disorder)
National,Diabetes,420825003,Gangrene due to type 1 diabetes mellitus (disorder)
National,Diabetes,420868002,Disorder due to type 1 diabetes mellitus (disorder)
National,Diabetes,421075007,Ketoacidotic coma due to type 1 diabetes mellitus (disorder)
National,Diabetes,421305000,Persistent microalbuminuria due to type 1 diabetes mellitus (disorder)
National,Diabetes,421437000,Hypoglycemic coma due to type 1 diabetes mellitus (disorder)
National,Diabetes,421631007,Gangrene due to type 2 diabetes mellitus (disorder)
National,Diabetes,421750000,Ketoacidosis due to type 2 diabetes mellitus (disorder)
National,Diabetes,421847006,Ketoacidotic coma due to type 2 diabetes mellitus (disorder)
National,Diabetes,422014003,Disorder due to type 2 diabetes mellitus (disorder)
National,Diabetes,426705001,Diabetes mellitus co-occurrent and due to cystic fibrosis (disorder)
National,Diabetes,426875007,Latent autoimmune diabetes mellitus in adult (disorder)
National,Diabetes,427089005,Diabetes mellitus due to cystic fibrosis (disorder)
National,Diabetes,443694000,Type II diabetes mellitus uncontrolled (finding)
National,Diabetes,444073006,Type I diabetes mellitus uncontrolled (finding)
National,Diabetes,445353002,Brittle type II diabetes mellitus (finding)
National,Diabetes,609561005,Maturity-onset diabetes of the young (disorder)
National,Diabetes,609562003,"Maturity onset diabetes of the young, type 1 (disorder)"
National,Diabetes,609572000,"Maturity-onset diabetes of the young, type 5 (disorder)"
National,Diabetes,703136005,Diabetes mellitus in remission (disorder)
National,Diabetes,703137001,Type I diabetes mellitus in remission (disorder)
National,Diabetes,703138006,Type II diabetes mellitus in remission (disorder)
National,Diabetes,737212004,Diabetes mellitus caused by chemical (disorder)
National,Diabetes,739681000,Disorder of eye due to type 1 diabetes mellitus (disorder)
National,Diabetes,768792007,Cataract of right eye due to diabetes mellitus (disorder)
National,Diabetes,768793002,Cataract of left eye due to diabetes mellitus (disorder)
National,Diabetes,768794008,Cataract of bilateral eyes due to diabetes mellitus (disorder)
National,Diabetes,816067005,"Diabetes, hypogonadism, deafness, intellectual disability syndrome (disorder)"
National,Diabetes,1142044000,Pre-existing malnutrition-related diabetes mellitus in pregnancy (disorder)
National,Diabetes,1196922005,Neovascular glaucoma due to diabetes mellitus type 2 (disorder)
National,Diabetes,1196923000,Neovascular glaucoma due to diabetes mellitus type 1 (disorder)
National,Diabetes,1217044000,Ketosis-resistant diabetes mellitus (disorder)
National,Diabetes,1217068008,Fulminant type 1 diabetes mellitus (disorder)
National,Diabetes,1217674007,Neurotrophic keratitis due to diabetes mellitus (disorder)
National,Diabetes,1222660008,"Pancreatic agenesis, holoprosencephaly syndrome (disorder)"
National,Diabetes,1481000119100,Diabetes mellitus type 2 without retinopathy (disorder)
National,Diabetes,82581000119105,Rubeosis iridis due to type 1 diabetes mellitus (disorder)
National,Diabetes,112991000000101,Lipoatrophic diabetes mellitus without complication (disorder)
National,Diabetes,335621000000101,Maternally inherited diabetes mellitus (disorder)
National,Diabetes,368711000119106,Mild nonproliferative retinopathy due to secondary diabetes mellitus (disorder)
National,Diabetes,385041000000108,Diabetes mellitus with multiple complications (disorder)
National,Down Syndrome,41040004,Complete trisomy 21 syndrome (disorder)
National,Down Syndrome,205615000,Trisomy 21- meiotic nondisjunction (disorder)
National,Down Syndrome,205616004,Trisomy 21- mitotic nondisjunction mosaicism (disorder)
National,Down Syndrome,254264002,Partial trisomy 21 in Down's syndrome (disorder)
National,Down Syndrome,371045000,Translocation Down syndrome (disorder)
National,Down Syndrome,450935006,Myeloid leukemia associated with Down Syndrome (morphologic abnormality)
National,Down Syndrome,724643004,Transient abnormal myelopoiesis co-occurrent with Down syndrome (disorder)
National,Down Syndrome,724644005,Myeloid leukemia co-occurrent with Down syndrome (disorder)
National,Down Syndrome,733194007,Dementia co-occurrent and due to Down syndrome (disorder)
National,Down Syndrome,840505007,Down syndrome co-occurrent with leukemoid reaction associated transient neonatal pustulosis (disorder)
National,Down Syndrome,1184621000,Periodontitis exacerbated by Down syndrome (disorder)
National,Heart Failure,5375005,Chronic left-sided congestive heart failure (disorder)
National,Heart Failure,10335000,Chronic right-sided heart failure (disorder)
National,Heart Failure,10633002,Acute congestive heart failure (disorder)
National,Heart Failure,42343007,Congestive heart failure (disorder)
National,Heart Failure,43736008,Rheumatic left ventricular failure (disorder)
National,Heart Failure,48447003,Chronic heart failure (disorder)
National,Heart Failure,56675007,Acute heart failure (disorder)
National,Heart Failure,66989003,Chronic right-sided congestive heart failure (disorder)
National,Heart Failure,82523003,Congestive rheumatic heart failure (disorder)
National,Heart Failure,84114007,Heart failure (disorder)
National,Heart Failure,85232009,Left heart failure (disorder)
National,Heart Failure,88805009,Chronic congestive heart failure (disorder)
National,Heart Failure,92506005,Biventricular congestive heart failure (disorder)
National,Heart Failure,111283005,Chronic left-sided heart failure (disorder)
National,Heart Failure,195111005,Decompensated cardiac failure (disorder)
National,Heart Failure,195112003,Compensated cardiac failure (disorder)
National,Heart Failure,195114002,Acute left ventricular failure (disorder)
National,Heart Failure,233924009,Heart failure as a complication of care (disorder)
National,Heart Failure,314206003,Refractory heart failure (disorder)
National,Heart Failure,367363000,Right ventricular failure (disorder)
National,Heart Failure,420300004,New York Heart Association Classification - Class I (finding)
National,Heart Failure,420913000,New York Heart Association Classification - Class III (finding)
National,Heart Failure,421704003,New York Heart Association Classification - Class II (finding)
National,Heart Failure,422293003,New York Heart Association Classification - Class IV (finding)
National,Heart Failure,426611007,Congestive heart failure due to valvular disease (disorder)
National,Heart Failure,441481004,Chronic systolic heart failure (disorder)
National,Heart Failure,441530006,Chronic diastolic heart failure (disorder)
National,Heart Failure,446221000,Heart failure with normal ejection fraction (disorder)
National,Heart Failure,703272007,Heart failure with reduced ejection fraction (disorder)
National,Heart Failure,788950000,Heart failure with mid range ejection fraction (disorder)
National,Heart Failure,871617000,Low output heart failure due to and following Fontan operation (disorder)
National,Heart Failure,898208007,Heart failure due to thyrotoxicosis (disorder)
National,Heart Failure,1204200007,Left ventricular failure with normal ejection fraction due to valvular heart disease (disorder)
National,Heart Failure,1204203009,Left ventricular failure with normal ejection fraction due to coronary arteriosclerosis (disorder)
National,Heart Failure,1204204003,Left ventricular failure with normal ejection fraction due to myocarditis (disorder)
National,Heart Failure,1204206001,Left ventricular failure with normal ejection fraction due to cardiomyopathy (disorder)
National,Heart Failure,1204462004,Left ventricular failure with sepsis (disorder)
National,Heart Failure,1204468000,Right ventricular failure with sepsis (disorder)
National,Heart Failure,1208843003,Right ventricular failure due to heart valve disorder (disorder)
National,Heart Failure,1208846006,Right ventricular failure due to disorder of lung (disorder)
National,Heart Failure,1208848007,Right ventricular failure due to disorder of pulmonary circulation (disorder)
National,Heart Failure,1208850004,Right ventricular failure due to right ventricular infarction (disorder)
National,Heart Failure,153941000119100,Chronic combined systolic and diastolic heart failure (disorder)
National,Heart Failure,16838951000119100,Acute on chronic right-sided congestive heart failure (disorder)
National,Hypertension,1201005,Benign essential hypertension (disorder)
National,Hypertension,8218002,Chronic hypertension complicating AND/OR reason for care during childbirth (disorder)
National,Hypertension,8762007,Chronic hypertension in obstetric context (disorder)
National,Hypertension,9901000,Essential hypertension complicating AND/OR reason for care during puerperium (disorder)
National,Hypertension,10562009,Malignant hypertension complicating AND/OR reason for care during childbirth (disorder)
National,Hypertension,10725009,Benign hypertension (disorder)
National,Hypertension,14973001,Renal sclerosis with hypertension (disorder)
National,Hypertension,18416000,Essential hypertension complicating AND/OR reason for care during childbirth (disorder)
National,Hypertension,19769006,High-renin essential hypertension (disorder)
National,Hypertension,23717007,Benign essential hypertension complicating AND/OR reason for care during pregnancy (disorder)
National,Hypertension,23786008,Malignant hypertension complicating AND/OR reason for care during puerperium (disorder)
National,Hypertension,24042004,Chronic hypertension complicating AND/OR reason for care during puerperium (disorder)
National,Hypertension,26078007,Hypertension secondary to renal disease complicating AND/OR reason for care during childbirth (disorder)
National,Hypertension,28119000,Renal hypertension (disorder)
National,Hypertension,29259002,Malignant hypertension complicating AND/OR reason for care during pregnancy (disorder)
National,Hypertension,31407004,Pre-existing hypertension complicating AND/OR reason for care during puerperium (disorder)
National,Hypertension,31992008,Secondary hypertension (disorder)
National,Hypertension,34694006,Pre-existing hypertension complicating AND/OR reason for care during childbirth (disorder)
National,Hypertension,35303009,Benign essential hypertension complicating AND/OR reason for care during puerperium (disorder)
National,Hypertension,37618003,Chronic hypertension complicating AND/OR reason for care during pregnancy (disorder)
National,Hypertension,38341003,"Hypertensive disorder, systemic arterial (disorder)"
National,Hypertension,39018007,Renal arterial hypertension (disorder)
National,Hypertension,39727004,Hypertension secondary to renal disease complicating AND/OR reason for care during puerperium (disorder)
National,Hypertension,46481004,Low-renin essential hypertension (disorder)
National,Hypertension,48146000,Diastolic hypertension (disorder)
National,Hypertension,48552006,Hypertension secondary to renal disease complicating AND/OR reason for care during pregnancy (disorder)
National,Hypertension,56218007,Systolic hypertension (disorder)
National,Hypertension,57684003,Parenchymal renal hypertension (disorder)
National,Hypertension,59621000,Essential hypertension (disorder)
National,Hypertension,59720008,Sustained diastolic hypertension (disorder)
National,Hypertension,63287004,Benign essential hypertension in obstetric context (disorder)
National,Hypertension,65402008,Pre-existing hypertension complicating AND/OR reason for care during pregnancy (disorder)
National,Hypertension,65518004,Labile diastolic hypertension (disorder)
National,Hypertension,67359005,Pre-eclampsia added to pre-existing hypertension (disorder)
National,Hypertension,69909000,Eclampsia added to pre-existing hypertension (disorder)
National,Hypertension,70272006,Malignant hypertension (disorder)
National,Hypertension,71874008,Benign essential hypertension complicating AND/OR reason for care during childbirth (disorder)
National,Hypertension,72022006,Essential hypertension in obstetric context (disorder)
National,Hypertension,73410007,Benign secondary renovascular hypertension (disorder)
National,Hypertension,74451002,Secondary diastolic hypertension (disorder)
National,Hypertension,78808002,Essential hypertension complicating AND/OR reason for care during pregnancy (disorder)
National,Hypertension,78975002,Malignant essential hypertension (disorder)
National,Hypertension,81626002,Malignant hypertension in obstetric context (disorder)
National,Hypertension,84094009,Rebound hypertension (disorder)
National,Hypertension,86041002,Pre-existing hypertension in obstetric context (disorder)
National,Hypertension,89242004,Malignant secondary hypertension (disorder)
National,Hypertension,111438007,Hypertension secondary to renal disease in obstetric context (disorder)
National,Hypertension,123799005,Renovascular hypertension (disorder)
National,Hypertension,123800009,Goldblatt hypertension (disorder)
National,Hypertension,169465000,Hypertension caused by oral contraceptive pill (disorder)
National,Hypertension,194783001,Secondary malignant renovascular hypertension (disorder)
National,Hypertension,194785008,Secondary benign hypertension (disorder)
National,Hypertension,194788005,Hypertension secondary to endocrine disorder (disorder)
National,Hypertension,194791005,Hypertension caused by drug (disorder)
National,Hypertension,198942000,"Benign essential hypertension complicating pregnancy, childbirth and the puerperium (disorder)"
National,Hypertension,198944004,"Benign essential hypertension complicating pregnancy, childbirth and the puerperium - delivered (disorder)"
National,Hypertension,198945003,"Benign essential hypertension complicating pregnancy, childbirth and the puerperium - delivered with postnatal complication (disorder)"
National,Hypertension,198946002,"Benign essential hypertension complicating pregnancy, childbirth and the puerperium - not delivered (disorder)"
National,Hypertension,198947006,"Benign essential hypertension complicating pregnancy, childbirth and the puerperium with postnatal complication (disorder)"
National,Hypertension,198949009,"Renal hypertension complicating pregnancy, childbirth and the puerperium (disorder)"
National,Hypertension,198951008,"Renal hypertension complicating pregnancy, childbirth and the puerperium - delivered (disorder)"
National,Hypertension,198952001,"Renal hypertension complicating pregnancy, childbirth and the puerperium - delivered with postnatal complication (disorder)"
National,Hypertension,198953006,"Renal hypertension complicating pregnancy, childbirth and the puerperium - not delivered (disorder)"
National,Hypertension,198997005,Pre-eclampsia or eclampsia with pre-existing hypertension (disorder)
National,Hypertension,198999008,Pre-eclampsia or eclampsia with pre-existing hypertension - delivered (disorder)
National,Hypertension,199000005,Pre-eclampsia or eclampsia with pre-existing hypertension - delivered with postnatal complication (disorder)
National,Hypertension,199002002,Pre-eclampsia or eclampsia with pre-existing hypertension - not delivered (disorder)
National,Hypertension,199003007,Pre-eclampsia or eclampsia with pre-existing hypertension with postnatal complication (disorder)
National,Hypertension,199005000,"Pre-existing hypertension complicating pregnancy, childbirth and puerperium (disorder)"
National,Hypertension,199007008,"Pre-existing hypertensive heart and renal disease complicating pregnancy, childbirth and the puerperium (disorder)"
National,Hypertension,199008003,"Pre-existing secondary hypertension complicating pregnancy, childbirth and puerperium (disorder)"
National,Hypertension,371125006,Labile essential hypertension (disorder)
National,Hypertension,397748008,Hypertension with albuminuria (disorder)
National,Hypertension,427889009,Hypertension associated with transplantation (disorder)
National,Hypertension,428575007,Hypertension secondary to kidney transplant (disorder)
National,Hypertension,429457004,Systolic essential hypertension (disorder)
National,Hypertension,443482000,Hypertensive urgency (disorder)
National,Hypertension,704667004,Hypertension concurrent and due to end stage renal disease on dialysis (disorder)
National,Hypertension,706882009,Hypertensive crisis (disorder)
National,Hypertension,712832005,Supine hypertension (disorder)
National,Hypertension,720568003,Brachydactyly and arterial hypertension syndrome (disorder)
National,Hypertension,762463000,Diastolic hypertension co-occurrent with systolic hypertension (disorder)
National,Hypertension,766937004,Hypertension due to gain-of-function mutation in mineralocorticoid receptor (disorder)
National,Hypertension,871642009,Hypertension due to aortic arch obstruction (disorder)
National,Hypertension,1204139007,Hypertension due to congenital adrenal hyperplasia (disorder)
National,Hypertension,1208839002,Secondary hypertension due to renal tubular disorder (disorder)
National,Hypertension,1208845005,Secondary hypertension due to congenital heart disorder (disorder)
National,Hypertension,40511000119107,Postpartum pre-existing essential hypertension (disorder)
National,Hypertension,71421000119105,Hypertension in chronic kidney disease due to type 2 diabetes mellitus (disorder)
National,Hypertension,71701000119105,Hypertension in chronic kidney disease due to type 1 diabetes mellitus (disorder)
National,Hypertension,118781000119108,Pre-existing hypertensive chronic kidney disease in mother complicating pregnancy (disorder)
National,Hypertension,127991000119101,Hypertension concurrent and due to end stage renal disease on dialysis due to type 2 diabetes mellitus (disorder)
National,Hypertension,128001000119105,Hypertension concurrent and due to end stage renal disease on dialysis due to type 1 diabetes mellitus (disorder)
National,Hypertension,132721000119104,Hypertensive emergency (disorder)
National,Hypertension,140101000119109,Hypertension in chronic kidney disease stage 5 due to type 2 diabetes mellitus (disorder)
National,Hypertension,140111000119107,Hypertension in chronic kidney disease stage 4 due to type 2 diabetes mellitus (disorder)
National,Hypertension,140121000119100,Hypertension in chronic kidney disease stage 3 due to type 2 diabetes mellitus (disorder)
National,Hypertension,140131000119102,Hypertension in chronic kidney disease stage 2 due to type 2 diabetes mellitus (disorder)
National,Hypertension,367821000119106,Hypertension due to compression of renal parenchyma (disorder)
National,Hypertension,843821000000102,Stage 1 hypertension (National Institute for Health and Clinical Excellence 2011) (disorder)
National,Hypertension,843841000000109,Severe hypertension (National Institute for Health and Clinical Excellence 2011) (disorder)
National,Hypertension,845891000000103,Hypertension resistant to drug therapy (disorder)
National,Hypertension,846371000000103,Stage 2 hypertension (National Institute for Health and Clinical Excellence 2011) (disorder)
National,Hypertension,863191000000102,Nocturnal hypertension (disorder)
National,Hypertension,908631000000108,Stage 1 hypertension (National Institute for Health and Clinical Excellence 2011) without evidence of end organ damage (disorder)
National,Hypertension,908651000000101,Stage 1 hypertension (National Institute for Health and Clinical Excellence 2011) with evidence of end organ damage (disorder)
National,Hypertension,1078301000112100,Multiple drug intolerant hypertension (disorder)
National,Hypertension,10752641000119100,Eclampsia with pre-existing hypertension in childbirth (disorder)
National,Hypertension,10757401000119100,Pre-existing hypertensive heart and chronic kidney disease in mother complicating childbirth (disorder)
National,Hypertension,16229371000119100,Labile systemic arterial hypertension (disorder)
National,Learning Disability,2593002,Dubowitz's syndrome (disorder)
National,Learning Disability,5619004,Bardet-Biedl syndrome (disorder)
National,Learning Disability,10007009,Coffin-Siris syndrome (disorder)
National,Learning Disability,15182000,Coffin-Lowry syndrome (disorder)
National,Learning Disability,17122004,4p partial monosomy syndrome (disorder)
National,Learning Disability,17827007,Cross syndrome (disorder)
National,Learning Disability,21111006,Complete trisomy 13 syndrome (disorder)
National,Learning Disability,21634003,Borjeson-Forssman-Lehmann syndrome (disorder)
National,Learning Disability,31216003,Profound intellectual disability (disorder)
National,Learning Disability,33982008,Hyperphosphatasemia with intellectual disability (disorder)
National,Learning Disability,35691006,Combined deficiency of sialidase AND beta galactosidase (disorder)
National,Learning Disability,40354009,De Lange syndrome (disorder)
National,Learning Disability,40700009,Severe intellectual disability (disorder)
National,Learning Disability,41040004,Complete trisomy 21 syndrome (disorder)
National,Learning Disability,51500006,Complete trisomy 18 syndrome (disorder)
National,Learning Disability,56604005,Cohen syndrome (disorder)
National,Learning Disability,57917004,Seckel syndrome (disorder)
National,Learning Disability,59252009,Cutis laxa-corneal clouding-oligophrenia syndrome (disorder)
National,Learning Disability,61152003,Moderate intellectual disability (disorder)
National,Learning Disability,65327002,Mucopolysaccharidosis type I-H (disorder)
National,Learning Disability,66758006,Acrodysostosis (disorder)
National,Learning Disability,68618008,Rett's disorder (disorder)
National,Learning Disability,70173007,5p partial monosomy syndrome (disorder)
National,Learning Disability,76880004,Angelman syndrome (disorder)
National,Learning Disability,79385002,Lowe syndrome (disorder)
National,Learning Disability,80651009,Aicardi's syndrome (disorder)
National,Learning Disability,86765009,Mild intellectual disability (disorder)
National,Learning Disability,89392001,Prader-Willi syndrome (disorder)
National,Learning Disability,109478007,Kohlschutter's syndrome (disorder)
National,Learning Disability,110359009,Intellectual disability (disorder)
National,Learning Disability,205615000,Trisomy 21- meiotic nondisjunction (disorder)
National,Learning Disability,205616004,Trisomy 21- mitotic nondisjunction mosaicism (disorder)
National,Learning Disability,232059000,Laurence-Moon syndrome (disorder)
National,Learning Disability,234146006,Hennekam lymphangiectasia-lymphedema syndrome (disorder)
National,Learning Disability,238047006,Beta-D-mannosidosis (disorder)
National,Learning Disability,253176002,Gillespie syndrome (disorder)
National,Learning Disability,254264002,Partial trisomy 21 in Down's syndrome (disorder)
National,Learning Disability,254268004,Partial trisomy 13 in Patau's syndrome (disorder)
National,Learning Disability,371045000,Translocation Down syndrome (disorder)
National,Learning Disability,401315004,Smith-Magenis syndrome (disorder)
National,Learning Disability,403554008,Oculocerebrocutaneous syndrome (disorder)
National,Learning Disability,412787009,"Intellectual disability, congenital heart disease, blepharophimosis, blepharoptosis and hypoplastic teeth (disorder)"
National,Learning Disability,416075005,On learning disability register (finding)
National,Learning Disability,422437002,X-linked intellectual disability with marfanoid habitus (disorder)
National,Learning Disability,442511009,"Progressive encephalopathy with edema, hypsarrhythmia and optic atrophy syndrome (disorder)"
National,Learning Disability,699297004,Blepharophimosis-intellectual disability syndrome Maat-Kievit-Brunner type (disorder)
National,Learning Disability,699298009,"Blepharophimosis, intellectual disability syndrome, Say-Barber-Biesecker-Young-Simpson type (disorder)"
National,Learning Disability,699669001,Renpenning syndrome (disorder)
National,Learning Disability,702327009,Monocarboxylate transporter 8 deficiency (disorder)
National,Learning Disability,702344008,Pitt-Hopkins syndrome (disorder)
National,Learning Disability,702357000,Chromosome 2q37 deletion syndrome (disorder)
National,Learning Disability,702412005,X-linked intellectual deficit-dystonia-dysarthria syndrome (disorder)
National,Learning Disability,702416008,X-linked intellectual disability Snyder type (disorder)
National,Learning Disability,702816000,Methyl-cytosine phosphate guanine binding protein-2 duplication syndrome (disorder)
National,Learning Disability,703526007,Progressive epilepsy-intellectual disability syndrome Finnish type (disorder)
National,Learning Disability,703535000,Mowat-Wilson syndrome (disorder)
National,Learning Disability,715342005,Alpha thalassemia X-linked intellectual disability syndrome (disorder)
National,Learning Disability,715409005,Trigonocephaly C syndrome (disorder)
National,Learning Disability,715428003,Skeletal dysplasia with epilepsy and short stature syndrome (disorder)
National,Learning Disability,715628009,"Intellectual disability, truncal obesity, retinal dystrophy and micropenis syndrome (disorder)"
National,Learning Disability,715989002,Congenital cataract with intellectual disability and anal atresia and urinary defect syndrome (disorder)
National,Learning Disability,716024001,Goniodysgenesis with intellectual disability and short stature syndrome (disorder)
National,Learning Disability,716089008,Craniofacial digital and genital anomalies syndrome (disorder)
National,Learning Disability,716096005,Hypospadias and intellectual disability syndrome Goldblatt type (disorder)
National,Learning Disability,716112005,Microcephaly with deafness and intellectual disability syndrome (disorder)
National,Learning Disability,716191002,Alopecia and intellectual disability syndrome (disorder)
National,Learning Disability,716334004,Intellectual disability and short stature with hand contracture and genital anomaly syndrome (disorder)
National,Learning Disability,716709002,FRAXE intellectual disability syndrome (disorder)
National,Learning Disability,716996008,Hypoplasia of corpus callosum and mental retardation with adducted thumbs and spasticity and hydrocephalus syndrome (disorder)
National,Learning Disability,717157006,Trisomy 10p (disorder)
